,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1109,1.4250439007601197,-0.32301294023209004,0.8165975922904545,-0.31132282058617994,1.7753968981803963,1.0638997674387747,0.5939542606138207,0.7702799404469636,-0.9143116399170458,0.6010550158898077,0.35389537859789244,0.4508483549823745
1032,-0.12618830033205244,1.6322538598424239,-1.3914722776605752,1.1076330409325303,0.16011403036221528,-1.039977123840174,-0.9873120323394952,0.950484596675579,0.316751200550949,-0.7562457528305305,-0.772511608967232,-0.787822640922809
1002,0.44834214451689997,-1.3285787231275543,0.30309297137161045,-0.3467967171241479,-0.5200050718770187,-0.2749309815569199,-0.5919954591011661,-0.8409616917147062,-0.3311766102216806,1.0731596310968816,1.1987006192717338,1.6895193508875581
487,1.0803256338507474,0.6546204598051673,0.4571443576472635,-0.5241661998139866,-0.7325422913267793,-1.039977123840174,-0.9873120323394952,0.7702799404469636,-0.9143116399170458,-1.4053895987402578,-0.3970426131121905,0.4508483549823745
979,2.2293865235486523,-0.4347424716649192,1.124700364841761,-0.8079573721177288,-0.264960408537306,-1.2312386594109874,-1.2305837697169284,0.08126213721993523,-1.1734827642260977,-0.16611498382168793,-0.021573617257149028,-0.787822640922809
1054,-0.06873525584715741,0.6266880769469598,-0.005009801179696045,-0.38227061366211557,0.16011403036221528,-1.039977123840174,0.9284528995077913,0.3833699432502336,-1.1734827642260977,-0.22512806072257227,-1.2418478537860334,0.4508483549823745
542,0.5632482334866911,1.0456738198200697,-0.15906118745534942,-0.31132282058617994,-0.37122901826218613,-1.039977123840174,-0.8048582293064203,-0.07774197121705773,-1.2382755453033591,-0.4021672914252252,-0.49090986207595044,-0.787822640922809
853,0.5632482334866911,-0.9375253631126514,0.6111957439229169,-0.7370095790417932,-0.15869179881242562,2.4027305164344694,0.25945562171985004,-0.12014306680030291,1.029471792400843,0.42401578518715466,0.4477626275616524,0.4508483549823745
1189,0.27598301106221484,2.3864281970140224,-1.1347199672011534,-0.5241661998139866,-0.264960408537306,-1.039977123840174,-0.8352671964785994,-0.3109479969246709,-0.07200548591262876,-1.2873634449384892,-0.772511608967232,-2.0264936368279924
412,-0.7007187451810049,1.1574033512528992,-0.5698648841904247,-0.45321840673805114,0.26638264008709567,-0.08366944598610641,0.9284528995077913,-0.07774197121705773,-0.2663838291444162,-0.10710190692080361,-1.0541133558585118,-0.787822640922809
